Type,Id,X1,Y1,X2,Y2,Forca,TimesReproduced,SegundosParaReproduzir
Inanimado,422,600.0,40.0,620.0,60.0
Inanimado,416,780.0,560.0,800.0,580.0
Inanimado,429,520.0,240.0,540.0,260.0
Inanimado,480,120.0,20.0,140.0,40.0
Inanimado,384,0.0,500.0,20.0,520.0
Inanimado,343,480.0,560.0,500.0,580.0
Inanimado,301,440.0,0.0,460.0,20.0
Inanimado,332,260.0,560.0,280.0,580.0
Inanimado,367,0.0,160.0,20.0,180.0
Inanimado,412,780.0,480.0,800.0,500.0
Flora,79,160.0,220.0,180.0,240.0,76.0,0
Inanimado,423,400.0,300.0,420.0,320.0
Inanimado,432,700.0,200.0,720.0,220.0
Inanimado,473,540.0,440.0,560.0,460.0
Inanimado,547,360.0,400.0,380.0,420.0
Inanimado,390,780.0,40.0,800.0,60.0
Inanimado,500,480.0,300.0,500.0,320.0
Flora,68,220.0,260.0,240.0,280.0,76.0,0
Inanimado,397,780.0,180.0,800.0,200.0
Inanimado,460,260.0,520.0,280.0,540.0
Inanimado,370,0.0,220.0,20.0,240.0
Inanimado,464,700.0,20.0,720.0,40.0
Inanimado,386,0.0,540.0,20.0,560.0
Inanimado,413,780.0,500.0,800.0,520.0
Flora,49,640.0,220.0,660.0,240.0,76.0,0
Inanimado,368,0.0,180.0,20.0,200.0
Inanimado,454,300.0,220.0,320.0,240.0
Inanimado,411,780.0,460.0,800.0,480.0
Inanimado,465,240.0,180.0,260.0,200.0
Flora,55,440.0,500.0,460.0,520.0,76.0,0
Inanimado,327,160.0,560.0,180.0,580.0
Inanimado,326,140.0,560.0,160.0,580.0
Inanimado,543,260.0,540.0,280.0,560.0
Inanimado,372,0.0,260.0,20.0,280.0
Inanimado,401,780.0,260.0,800.0,280.0
Inanimado,347,560.0,560.0,580.0,580.0
Inanimado,541,660.0,260.0,680.0,280.0
Inanimado,450,240.0,120.0,260.0,140.0
Inanimado,491,540.0,200.0,560.0,220.0
Inanimado,552,180.0,340.0,200.0,360.0
Inanimado,459,40.0,240.0,60.0,260.0
Inanimado,442,480.0,120.0,500.0,140.0
Inanimado,385,0.0,520.0,20.0,540.0
Flora,59,320.0,20.0,340.0,40.0,76.0,0
Inanimado,383,0.0,480.0,20.0,500.0
Inanimado,322,60.0,560.0,80.0,580.0
Inanimado,353,680.0,560.0,700.0,580.0
Inanimado,487,500.0,340.0,520.0,360.0
Inanimado,506,540.0,280.0,560.0,300.0
Inanimado,527,20.0,420.0,40.0,440.0
Inanimado,295,320.0,0.0,340.0,20.0
Inanimado,328,180.0,560.0,200.0,580.0
Inanimado,399,780.0,220.0,800.0,240.0
Inanimado,524,480.0,520.0,500.0,540.0
Inanimado,311,640.0,0.0,660.0,20.0
Inanimado,313,680.0,0.0,700.0,20.0
Inanimado,495,440.0,360.0,460.0,380.0
Flora,65,660.0,320.0,680.0,340.0,76.0,0
Inanimado,515,20.0,160.0,40.0,180.0
Flora,42,340.0,500.0,360.0,520.0,76.0,0
Inanimado,330,220.0,560.0,240.0,580.0
Inanimado,395,780.0,140.0,800.0,160.0
Inanimado,414,780.0,520.0,800.0,540.0
Inanimado,308,580.0,0.0,600.0,20.0
Inanimado,477,380.0,160.0,400.0,180.0
Inanimado,492,520.0,160.0,540.0,180.0
Inanimado,455,280.0,60.0,300.0,80.0
Inanimado,504,620.0,500.0,640.0,520.0
Inanimado,403,780.0,300.0,800.0,320.0
Inanimado,369,0.0,200.0,20.0,220.0
Inanimado,503,420.0,220.0,440.0,240.0
Inanimado,345,520.0,560.0,540.0,580.0
Inanimado,405,780.0,340.0,800.0,360.0
Inanimado,485,620.0,280.0,640.0,300.0
Inanimado,297,360.0,0.0,380.0,20.0
Inanimado,513,740.0,400.0,760.0,420.0
Inanimado,542,340.0,300.0,360.0,320.0
Inanimado,381,0.0,440.0,20.0,460.0
